"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"SLCO2B1",8.93196949439974,9.11034381292892,10.9809958309188,10.7931127635661,10.6170321722105,10.4244402078629,12.002317165257,11.8872648031641,10.473233585268,10.3260233630685,12.1340557957087,11.9246936906123,9.96053146302741,9.60734049297565,11.708485183017,11.5069703301688
"CDCA5",3.47338766615291,4.07140037195615,5.50194904737538,4.96302659745838,4.29947890853424,4.27371457725359,5.96411666843846,4.60502994581138,3.91260285725657,3.64927333819031,5.2420637996864,5.06424944736067,3.74370155017548,3.90950236695718,4.7063920845703,4.94384698728203
"SLC46A1",5.66469234701485,5.41144155483131,6.44419096354784,6.33240232403393,5.70329414527623,5.97271713301961,7.37044120959097,6.89776558806166,5.91121758634817,6.00187453939176,7.23157286435709,7.2278597149185,5.92148697972788,5.23958245284101,7.03831166308247,6.69081741786311
"GLCCI1",5.21944026779414,5.28957677187995,5.66158441700219,4.86882362902541,4.91106618454913,4.83647022712818,6.32898890372923,5.74805110560595,4.51076300268323,4.64973033605649,5.69521733616872,5.4212032448815,4.68924374143749,4.87233551580188,5.93804117229435,5.78299619274987
"FKBP9",6.20068282025288,5.57643745321162,6.83804987987571,6.83200484590149,6.1765427412109,6.51622011813479,7.65817848637885,7.77109148311989,6.80503967743529,6.51718856904414,7.80754532133525,7.73126768931702,5.33326759314297,4.774806256212,6.79734032165247,6.79014114924307
"ACOT7",5.1141931261857,5.00838455916476,6.53340673212934,6.08168718211164,5.64248956483737,5.99345708576285,6.40658990530619,6.32993628391278,5.40593453193401,5.27100454578461,6.0452167701373,6.04868714223503,4.98510663561114,5.12241137877584,6.23342305299493,6.03804892416662
"PIK3IP1",4.67333714990163,4.65020955734044,5.30421452111438,5.88416999554813,5.63840955403332,5.34108717130838,6.22542558338788,6.01933688805967,4.8506511581798,5.41813495870039,6.75464468139532,6.42667081102064,5.04462989692632,5.57659840277294,6.13046073831649,6.07822121797034
"NLRP3",8.94276017496489,10.5595818416567,7.565523388872,9.61709810994241,8.28812996195294,10.2804925141778,8.26194306206993,10.6182780435415,7.76971933707663,9.49719093284344,8.01037784909806,9.40805053823264,8.8106250923265,10.2352724487126,8.57440537730846,10.1976980129429
"SLAMF6",5.48696452851871,4.61584295607143,6.00022557571788,4.34348877880258,5.90309953128047,5.415229318951,7.16224479853184,7.02694059324672,5.74588898439974,5.43669383277987,8.39009542318272,8.14753726847317,4.9688406637099,4.53892823648152,7.00514147084634,6.59757466277901
"CGAS",8.41908843089257,8.31513036409594,7.89839484945473,9.57549170487835,7.93773154037127,8.95303251416029,7.85660144658706,8.67881829579117,7.22084126957433,8.2986324149331,7.38791771748468,7.93934987821396,7.66198211425423,8.8599816982592,7.64402092912094,8.97143689872808
"MARCH3",6.14895826368901,7.14565295222325,6.64370398279919,7.4212189221638,6.51977226548821,7.99137065536958,6.53518776900075,8.11139053016406,6.86724530367984,7.46147965219703,6.76755518917705,7.21587929789669,6.47709912767702,7.43226280439823,6.75817385001949,7.95543792083538
"CKB",6.99499095605719,8.67273463479887,7.01613927301099,9.0672530794519,6.88210881513652,8.79835604125792,5.71176547319781,7.9538118017046,7.34781364638796,8.72158640727138,6.65008315694073,7.88732051438516,7.73189490571468,8.66894212982938,7.01040288515597,8.35477221738672
"RAB42",4.78120257681161,5.39071116408125,5.95376377009179,5.01478572936681,5.69583192470345,4.78210692824794,6.49988615702692,6.44123717780688,5.85188739654182,4.52157873113115,6.44741161796602,6.08011037345229,4.75858314997176,4.79552241509576,6.62169366767544,5.83343374932064
"GBP4",6.78849605367595,8.7106283452157,7.20789926743096,10.0726206127898,6.27994581176807,9.82755369884891,6.70381011105915,9.30769025565381,5.99763898725608,8.90937859905819,6.74246796860854,8.52737178854576,6.73244892699703,9.35947874757252,6.88821183830708,9.44886704669226
"GBP5",6.35873703844785,8.00184170731673,5.92169645816152,9.22493438392422,5.95147851581003,9.41215141362254,5.98846836675464,8.95694834181822,5.62390991429654,8.59446049685765,6.01270908270211,7.82177167007783,6.32527114183973,8.88152446594844,6.45588605929894,8.72087202747748
"ARL11",6.18680342265109,5.20628989642692,5.86212452432032,5.06282381759868,6.61692384653079,5.13003688832648,6.85273473739511,6.11457732698205,6.83899648218042,5.0916381719585,6.94135840687262,6.66148322383605,5.95818582446177,4.63295926092725,6.02968502546512,5.77557471726933
"OSR2",4.3617966674208,5.58985960648519,4.65583950049867,6.53451543827103,4.42997602465324,6.04017957599419,4.66335413372911,6.74999622370083,4.72837076251072,5.5428265441768,4.61773121255217,5.56452808610969,4.48011980142396,5.29166655414856,4.66519399626868,6.19091979199875
"BATF2",5.66363027855441,5.11823742366059,5.58149135126047,7.57677658709079,4.80470681179885,7.5481327791404,5.76168343408662,7.40796205310274,5.48354733168286,6.65603073604068,5.775797460245,6.50926565562079,5.52037695478995,7.29034915602074,5.53536852740027,7.6361436403364
"TM4SF19",8.98426470751007,8.78392788256499,8.62065711834183,7.72005383884466,8.81857302354748,8.39461406415516,7.30881344600681,7.10504026676147,8.83081375044087,8.31374195284874,7.15088058359038,6.85137149930927,8.90313809517833,8.44203427397965,7.76999709304733,7.1778475981303
"CKS1B",5.3130929310661,5.49049593251179,6.43300334867445,6.34378204676249,5.38664910700695,5.51748657236418,6.40056079657326,6.45993080705019,5.15632966339206,5.24179291255521,6.43108768753366,6.28278894700036,5.2933002756782,5.03699835388659,5.95407642947945,6.33903771274166
"SLC18B1",5.67923427996543,5.51400610328807,5.95654827466263,6.95537470077731,6.49571489518855,7.10742154196338,8.21223355528409,8.30826375252615,6.05838957887247,6.71809290218812,8.26813079082245,8.22851292184512,6.37591050923974,6.43286478525645,7.90558441237917,8.12319932697458
"TAGAP",9.28935251678329,10.0997127705536,8.20680438379117,9.5369703874103,8.29752494098414,9.71112906166328,8.8423004984329,9.63435741931976,7.93233466682209,9.02433587224843,8.42847873544256,9.36729460853157,8.29706611750754,9.12291591217521,8.23986900211202,9.29891843985866
"SFR1",7.95099229810301,9.28008599778237,7.6151333628962,7.94172724553663,7.51314238403206,9.07863008014364,7.52319970976105,8.24280575577688,7.93182175733915,8.71382045536848,7.27015997803548,8.27330611025435,7.98599845291044,8.76691886246657,7.32406913053411,8.23105402028689
"JAML",8.45507328101569,8.55313327017123,6.98978317209984,7.2422005912337,7.45745649542728,7.23356199589546,6.06963018986261,6.21808125706746,7.69156530035406,7.60518633783144,7.38069697843303,7.47798621345881,6.84314704166519,7.02425708203884,5.82852197673204,6.14738461999424
"RHEBL1",2.82442596779193,3.61995013594197,2.92775522660066,3.52134195764407,2.72087735084713,4.19640069501051,3.07388948396596,3.91079161759199,3.71470153746008,4.69042508684153,3.87981695316078,3.82896266232782,3.31053152213267,4.30681279312603,2.93994846879064,3.09429527802244
"ADSSL1",4.8824466176239,5.54647372892646,5.76563554032937,6.3226836233442,4.74770303804264,4.44054005875943,5.6151837769015,5.86064103146714,6.00395075557988,6.18948974976706,6.81791302093625,6.94892559572319,5.07304589336613,5.80258791718319,7.10958098853944,7.37346981529275
"CCR5",10.5711665491975,10.6153666941198,10.0508063624918,10.2511020000702,10.4353533385066,10.353628631143,9.27270205612707,9.13621997669231,10.6527642751647,10.879836330985,9.17510355815053,9.04470557321591,10.6590382087656,10.6455752956135,9.81474797876859,9.67243890064858
"CCR7",8.74952839071389,11.150226294587,9.26846179748529,11.7573630571933,9.28583659001293,11.4808099824704,8.8946566960261,11.2775603463654,9.18442845082535,10.8729120060614,7.36079656449181,9.48912582423154,9.61731871372155,10.9338057212771,8.96334057558301,10.8080267347546
"DNAAF1",6.05852143162585,7.56899734864054,6.04507436879495,7.25107398390704,5.91349719779671,7.63657008405406,5.78237277208857,7.22084117751078,6.15925622531945,7.6278851790992,5.1899065538183,6.69245215420618,6.85402260269792,8.18229057406695,6.26001865166747,7.64942371049932
"DCUN1D3",7.14124146998302,8.11932327158087,6.13427402637651,7.8836898490188,6.9472630624186,8.32119072495099,6.49720002676775,7.71762718771513,6.93036932575467,7.75815881330506,6.83817328995849,7.44914259398772,7.1311098408743,8.02630888036779,6.72104718006172,7.69152808040516
"CMKLR1",8.35216601539252,7.17588785501785,10.4827836269508,8.69884988036769,9.91561400328768,8.00340648443933,10.5552529936005,9.64185151625701,9.32430842213684,8.03094288418722,10.5400844434754,9.89788413180636,8.99079905820574,7.62144969166162,10.3665366265971,9.11198027684714
"IQCK",3.71358136602906,4.66394333311315,5.63955623037614,5.29175964490213,4.55047429853903,4.80259491398429,6.30942324592282,6.04648226124411,4.76418264441089,4.7159461529849,5.94334687958575,5.61073711158372,4.70441641742184,4.33022628302247,5.3312989599096,5.64768070159985
