"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"TC1900011763.hg.1",6.03917202373439,6.31218853331775,6.73855330505743,6.76749675731897,7.3954699585772,7.26139088010642,7.76616435965796,8.28307847130142,7.70590346007431,7.61367521223796,8.80876260348557,9.02009271579973,6.0198535343125,6.58436962380217,7.05819658931207,7.11428201804612
"TC1100013175.hg.1",7.62026054008865,7.46666510518625,8.23329801431829,8.01313116895327,7.74672518815076,7.19371614109019,8.0327402297255,7.89585700420659,7.77398944114162,7.4334327198428,8.25448333120291,8.01398030654668,7.75576099665736,7.22737397864389,8.10910764902868,7.94932556973558
"TC0300014092.hg.1",9.19903872557717,8.93538224502039,8.70409847537786,7.69205598136723,9.32825572267315,8.62216185450774,7.73262865736097,7.39011192927137,9.0126163278312,8.43327590857273,7.45600198832764,7.17761483607605,9.08392433367204,8.70371085062211,8.06293095789623,7.43518988652303
"TC0500013296.hg.1",4.76880791644965,4.03817119494195,4.9064301487141,4.58211342390897,5.02344957931186,3.46735054707488,5.65967848217054,5.81272241632338,4.03543053207665,4.76479587681875,5.62962198328141,5.2295823773539,4.69896952123558,4.14949981684815,5.28966599594427,5.18521508668149
"TC0300013360.hg.1",4.32124565770989,4.25918095107045,5.93981671556783,5.51367922708736,5.65746065852156,5.1162823675829,6.68717759961632,6.56802677481157,4.74423095936446,4.44394501197581,6.51434390611144,6.56734463316061,5.32581880453797,5.28565467232054,5.99089607612737,6.35008878096374
"TC0200016774.hg.1",5.42155659855192,4.51535629286012,5.25334051648827,4.76931112853234,5.49253063554827,4.48274931947172,5.37861971584099,4.96821994202476,4.96558082786298,4.87471279956924,4.99725891715349,5.05879670258168,5.55637564702203,4.93434477336948,5.50154605191349,4.54747597172298
"TC1700012471.hg.1",3.84079113847111,4.04780086578729,3.62785271894672,3.33608730729454,3.42507867848414,3.71482208972046,3.71641267485761,3.70506901846015,3.06488548146273,3.37650275533494,3.15121774453914,3.68831215105268,2.86331739946759,3.20424923633647,2.95535191866325,3.48942222928372
"TC1100007472.hg.1",5.71525697807913,5.00252277419104,7.53278194748533,6.85051238933234,6.60716654686631,5.56729824345856,6.97554333436104,6.02938398415463,6.50276107294261,5.64129884895994,7.04817842538216,6.7252343118143,6.03864837496549,6.05007533125714,7.37680551245265,6.56606058022405
"TC0300014034.hg.1",8.05084769633923,8.5737992329905,7.96985001996999,8.34625774621408,7.69115733893923,8.35350071584979,7.59565542688937,8.06300907488547,7.77858154000433,8.26017423202802,7.54523244398889,7.65247670177006,7.92701495864336,8.30720696300306,7.71723713023426,7.96371181095703
"TC1900010581.hg.1",2.89788904327466,3.54149448911864,2.75928505144038,3.28162180646951,3.37242384274343,2.72048900604791,2.95651135556777,2.61478512644538,2.36381379051248,3.24070584043616,2.70224880959737,3.24207053014577,2.99242255247083,2.84616533821876,3.42606584555908,3.27981509051592
"TC1500010047.hg.1",8.1940588297789,8.22437549917228,9.69472741395714,8.86610612013842,8.98940773067271,8.67168830846375,9.83670507637078,9.41759316111197,9.05057019715676,8.93766708846999,9.69276081536248,9.6771963620489,9.02454612972919,8.59154407183766,9.46157488429819,9.3940421072044
"TC0100015951.hg.1",7.69120460257547,7.39189453314143,8.57859218733022,7.83833160637935,7.96126570689657,7.36189238764116,8.2930045217137,8.19618918802135,7.79392555069055,7.57911071926249,8.20112099776864,7.8448015760798,7.68704450967301,7.42078434678881,8.14250311981979,8.0415339817831
"TC1100008330.hg.1",8.79531524094585,8.9407563896905,9.56512739298674,8.79719843755449,9.71425294628614,9.2831329744513,9.17007814428038,8.79688645023893,9.53648061174317,9.1705126634827,9.19909094885506,8.94384057456773,9.62882194936362,9.63382018550786,9.58285338163261,9.58423653084264
"TC2100007852.hg.1",3.55992162766268,3.65871340240574,4.54056763761313,3.62939695924124,4.21528393137448,3.98329983141304,5.25114343117589,4.30920137832512,3.81478914582873,3.83724851939689,4.34686248585343,3.97179017147427,3.9887645256802,2.82776617654191,4.3148744296284,4.28568854853633
"TC2000009461.hg.1",4.17155224761593,3.52936633193312,3.57873833232765,3.23742112096807,3.21397175864134,3.54868805030591,3.5002237801195,3.89295391613194,4.56163438823157,4.19681955843802,3.94797367301714,4.30232127989815,4.08565205769312,3.58839992807818,3.92096129289471,3.417429727502
"TC1100010241.hg.1",5.4227656268026,4.65185963125175,4.43801177346938,3.86183424860382,4.10580263672406,4.6681863010484,4.10197574302093,4.39049592366662,5.17897680123774,4.70883640171563,4.27491874481165,4.07537008937536,4.43981000195823,4.38274009871975,4.0699938292421,4.08870658204544
"TC1900010487.hg.1",4.56903853354632,4.54916290434376,3.62102424556479,4.1935072264311,3.80350684611423,4.29342798024323,4.4458068406203,4.77505347385551,4.0048132708912,4.8788643221847,4.06865365650156,4.64774374855847,3.76173791241521,4.88576817677483,4.92172561729403,4.61235302407998
"TC0X00007015.hg.1",3.17064270571023,4.74399259918078,3.62811883072651,4.14540653823761,3.90432493930038,4.48258943692235,4.43620939044618,3.3602800269257,3.54183134253938,4.46421264700903,3.96087177028295,3.59642205313034,4.35085143481041,4.39852480311917,3.20494878608601,4.24309701245393
